;producto_id;tipo_produccion_id;idioma_id;anio_publica;titulo;palabras_clave
62;225;1;4;2016;Lactobacillus casei BL23 regulates Treg and Th17 T-cell populations  and reduces DMH-associated colorectal cancer;COLORECTAL CANCER|INFLAMMATION|LACTIC ACID BACTERIA|IMMUNOMODULATION
63;226;1;4;2016;Kinetics of hydrogen evolution reaction on nickel modified by spontaneous Ru deposition: A rotating disk electrode and impedance spectroscopy approach;Hydrogen generation| Impedance spectroscopy|Nickel/ruthenium|Rotating disk electrode|Spontaneous deposition
64;236;1;4;2016;Mountain invasions on the way: are there climatic constraints for the expansion of alien woody species along an elevation gradient in Argentina?;altitudinal gradient|exotic species|Gleditsia triacanthos|Ligustrum lucidum|Pyracantha angustifolia|seedling establishment
65;241;1;4;2016;The interfacial properties of the peptide polybia-mp1 and its interaction with DPPC are modulated by lateral electrostatic attractions;PEPTIDE-PEPTIDE LATERAL INTERACTION|LANGMUIR MONOLAYER|DOMAIN SHAPE|MEMBRANE ELECTROSTATIC INTERACTIONS
66;242;1;4;2016;A new species of philometrid parasite (Nematoda, Philometridae) and histopathological lesions in juvenile whitemouth croakers, Micropogonias furnieri (Desmarest);caseous necrosis,|histopathological study,|Micropogonias furnieri,|Philometroides.
67;246;1;4;2016;Growth pattern and changes in abundance of the endangered bat star Asterina stellifera;Somatic Growth|Asteroidea|endangered species|population dynamics
68;248;1;4;2016;SMOS-MIRAS level 2 soil moisture product evaluation in rainfed croplands of the Pampean Region of Argentina;Soil moisture|Soil measurements|Uncertainty|Microwave radiometry
69;250;1;4;2016;A ptsP deficiency in PGPR Pseudomonas fluorescens SF39a affects bacteriocin production and bacterial fitness in the wheat rhizosphere;REGULATION|BACTERIOCIN|PGPR
70;261;1;4;2016;Synthesis and pharmaceutical properties of N-acyloxymethyl prodrugs of Allop with potential anti-trypanosomal activity;Chagas disease|N-acyloxymethyl prodrugs|physicochemical and pharmacokinetic properties|Trypanosoma cruzi
71;270;1;4;2016;Eryptosis is induced by hyperthermia in hereditary spherocytosis red blood cell;ANEMIA|ERYPTOSIS|HEREDITARY SPHEROCYTOSIS|HYPERTHERMIA|INTRACELLULAR CALCIUM
72;275;1;4;2016;NARRATIVES ABOUT THE PAST AND COGNITIVE POLYPHASIA:  REMEMBERING THE ARGENTINE ?CONQUEST OF THE DESERT?;COLLECTIVE MEMORY |HISTORICAL NARRATIVES|INTERGROUP CONFLICT|COGNITIVE POLYPHASIA
73;279;1;4;2016;Amaranth proteins foaming properties: Film rheology and foam stability-Part 2.;amaranth proteins|air-water interfaces|film rheology|foaming properties
74;281;1;4;2016;The gas metallicity gradient and the star formation activity of disc galaxies;galaxy formation |chemical evolution
