persona_id;anio;sexo_id;edad;maximo_grado_academico_id;disciplina_maximo_grado_academico_id;disciplina_titulo_grado_id;disciplina_experticia_id;tipo_personal_id;producciones_ult_anio;producciones_ult_2_anios;producciones_ult_3_anios;producciones_ult_4_anios;institucion_trabajo_id;seniority_level;categoria_conicet_id;categoria_incentivos;max_dedicacion_horaria_docente_id;institucion_cargo_docente_id;clase_cargo_docente_id;tipo_condicion_docente_id
56321;2011;2;58;5;29;29;24;4;0;1;3;4;334;   ;-1;-1;3;334;18;1
56323;2011;2;40;3;278;250;250;2;-1;-1;-1;-1;8107;   ;;;;;;
56324;2011;1;52;2;285;285;285;3;0;2;5;8;1102;C  ;-1;4;1;1102;18;2
56325;2011;1;54;5;237;237;237;3;0;0;0;0;4827;C  ;-1;5;1;4827;17;1
56327;2011;1;44;6;231;-1;235;4;0;0;0;0;4586;   ;-1;5;2;490;20;1
56330;2011;1;26;5;223;223;223;4;0;0;0;0;9423;   ;-1;-1;3;9423;20;3
56331;2011;2;37;2;278;278;278;3;0;0;0;0;578;C  ;-1;5;3;578;44;2
56332;2011;2;51;2;212;55;259;3;2;3;3;3;575;B  ;-1;3;3;4173;18;2
56333;2011;1;41;5;262;262;265;4;-1;-1;-1;-1;1208;   ;-1;-1;1;1208;20;1
56334;2011;2;52;5;252;252;252;3;0;0;3;10;488;C  ;-1;4;2;496;18;2
56335;2011;2;23;-1;-1;-1;107;2;0;0;0;0;711;   ;;;;;;
56336;2011;1;47;1;286;286;234;4;0;1;2;4;1784;   ;-1;4;2;301;18;2
56339;2011;1;56;1;251;251;251;4;0;0;0;0;4110;   ;-1;5;3;282;18;2
56340;2011;2;32;1;265;107;107;3;1;2;4;38;575;C  ;-1;4;1;6338;18;1
56342;2011;1;28;5;36;36;38;1;4;5;9;10;918;D  ;6;-1;3;563;49;2
56343;2011;2;39;3;251;251;251;3;4;4;4;4;527;S/D;-1;-1;2;527;26;1
56345;2011;1;36;5;252;252;223;2;0;0;0;0;9423;   ;;;;;;
56347;2011;2;28;5;285;285;227;1;3;4;4;4;6820;D  ;6;-1;2;5516;21;2
56348;2011;2;44;2;-1;-1;201;3;3;5;7;8;247;B  ;-1;3;2;283;18;1
56349;2011;2;56;2;282;-1;282;4;2;3;5;5;4820;   ;-1;4;3;4820;18;2
56350;2011;2;48;1;196;196;199;3;14;21;31;38;5799;A  ;-1;1;2;544;19;1
56352;2011;1;36;5;105;105;243;4;0;0;0;0;251;   ;-1;-1;2;251;21;1
56355;2011;2;28;5;61;61;61;1;3;3;3;3;9212;D  ;-1;-1;3;1344;43;1
56356;2011;2;37;3;61;61;61;4;0;0;0;0;8545;   ;-1;5;1;8545;21;2
56357;2011;1;21;7;-1;-1;278;2;0;0;0;0;5390;   ;;;;;;
56358;2011;2;28;5;204;204;204;4;0;0;0;0;333;   ;-1;-1;3;333;21;2
56359;2011;1;27;5;280;280;279;4;1;2;2;2;333;   ;-1;-1;3;369;40;1
56360;2011;2;50;1;257;257;257;3;2;3;3;5;3908;B  ;-1;3;2;314;17;2
56361;2011;1;24;-1;-1;-1;96;2;1;1;1;1;8181;   ;;;;;;
56362;2011;2;49;1;262;74;76;3;12;21;24;27;921;A  ;3;2;1;3444;18;1
56363;2011;2;33;5;251;251;287;2;1;1;1;1;3302;   ;;;;;;
56364;2011;2;40;5;61;61;61;3;1;1;1;1;5070;S/D;8;-1;3;576;20;2
56365;2011;2;62;1;100;36;266;3;4;5;9;12;561;A  ;2;1;1;561;19;1
56366;2011;2;33;5;199;199;199;3;0;1;1;2;327;C  ;-1;5;3;327;21;1
56367;2011;2;24;-1;-1;-1;168;2;0;1;1;1;10138;   ;;;;;;
56368;2011;1;45;1;271;134;134;2;0;0;0;0;5761;   ;;;;;;
56372;2011;1;48;5;253;253;5;4;0;0;0;0;321;   ;-1;-1;3;8181;20;2
56373;2011;1;43;5;201;201;201;4;0;0;0;0;334;   ;-1;-1;2;334;20;1
56375;2011;1;30;5;201;201;201;2;0;0;0;0;244;   ;;;;;;
56376;2011;2;54;5;58;58;58;4;0;0;0;0;556;   ;-1;4;2;6849;17;1
56378;2011;1;45;5;202;202;202;3;0;0;0;0;420;C  ;-1;5;3;420;20;1
56379;2011;2;34;5;192;192;223;3;13;23;29;35;9247;S/D;-1;-1;3;2414;20;2
56380;2011;2;51;5;250;250;51;4;1;2;2;2;711;   ;-1;-1;3;4067;17;2
56381;2011;1;49;1;286;286;194;4;0;0;1;2;661;   ;-1;-1;3;661;17;1
56385;2011;1;37;3;279;279;279;3;0;0;3;3;488;C  ;-1;5;1;488;20;1
56386;2011;2;26;5;5;5;5;1;0;0;0;0;7860;D  ;6;-1;3;339;41;1
56387;2011;1;39;1;256;18;256;4;0;2;3;4;93;   ;-1;5;3;146;20;1
56388;2011;1;21;7;-1;-1;122;2;0;0;0;0;6392;   ;;;;;;
56389;2011;1;38;2;285;285;197;4;0;0;2;2;9876;   ;-1;5;1;9876;18;1
56392;2011;1;47;5;248;248;248;4;0;0;0;0;357;   ;-1;-1;3;357;18;2
